agent_name	grounding	other_mapping	cui
AVP	"('HGNC', '894')"	"{'UP': 'P01185', 'TEXT': 'AVP', 'HGNC': '894'}"	C1568204
EPHB2	"('HGNC', '3393')"	"{'UP': 'P29323', 'TEXT': 'EphB2', 'HGNC': '3393'}"	C3849574
CLOCK	"('HGNC', '2082')"	"{'UP': 'O15516', 'TEXT': 'clock', 'HGNC': '2082'}"	C1413503
Heart Failure	"('MESH', 'D006333')"	"{'MESH': 'D006333', 'TEXT': 'heart failure'}"	C0018801
EphB2 receptor	"(None, None)"	{'TEXT': 'EphB2 receptor'}	C0109317
Hyperlipidemias	"('MESH', 'D006949')"	"{'MESH': 'D006949', 'TEXT': 'hyperlipidemia'}"	C0020473
GDNF	"('HGNC', '4232')"	"{'UP': 'P39905', 'TEXT': 'GDNF', 'MESH': 'D051100', 'HGNC': '4232'}"	C0207072
ISTAART criteria	"(None, None)"	{'TEXT': 'ISTAART criteria'}	C0243161
NPS	"('HGNC', '33940')"	"{'UP': 'P0C0P6', 'TEXT': 'NPS', 'HGNC': '33940'}"	C0027341
MBI construct	"(None, None)"	{'TEXT': 'MBI construct'}	C2827421
catechin	"('CHEBI', 'CHEBI:23053')"	"{'PUBCHEM': '1203', 'TEXT': 'catechins', 'CHEBI': 'CHEBI:23053', 'CHEMBL': 'CHEMBL206452'}"	C0007404
SOX2	"('HGNC', '11195')"	"{'UP': 'P48431', 'TEXT': 'Sox2', 'HGNC': '11195'}"	C0300483
cell cycle arrest	"('GO', 'GO:0007050')"	"{'GO': 'GO:0007050', 'TEXT': 'cell cycle arrest'}"	C1155873
ACE2	"('HGNC', '13557')"	"{'UP': 'Q9BYF1', 'TEXT': 'Angiotensin-converting enzyme-2', 'HGNC': '13557'}"	C1422064
AGT	"('HGNC', '333')"	"{'UP': 'P01019', 'TEXT': 'Ang II', 'HGNC': '333'}"	C2713666
SIRT1	"('HGNC', '14929')"	"{'UP': 'Q96EB6', 'TEXT': 'sirtuin 1', 'HGNC': '14929', 'MESH': 'D056564'}"	C2720167
MMP13	"('HGNC', '7159')"	"{'UP': 'P45452', 'TEXT': 'MMP-13', 'MESH': 'D053509', 'HGNC': '7159'}"	C1567335
DSP	"('HGNC', '3052')"	"{'UP': 'P15924', 'TEXT': 'DP', 'HGNC': '3052', 'MESH': 'D051180'}"	C1414174
glycine betaine	"('CHEBI', 'CHEBI:17750')"	"{'PUBCHEM': '247', 'TEXT': 'betaine', 'CHEBI': 'CHEBI:17750', 'HMDB': 'HMDB0000043', 'CHEMBL': 'CHEMBL1182', 'MESH': 'D001622', 'CAS': '107-43-7', 'DRUGBANK': 'DB06756'}"	C0005304
glycine betaine	"('CHEBI', 'CHEBI:17750')"	"{'PUBCHEM': '247', 'TEXT': 'Betaine', 'CHEBI': 'CHEBI:17750', 'HMDB': 'HMDB0000043', 'CHEMBL': 'CHEMBL1182', 'MESH': 'D001622', 'CAS': '107-43-7', 'DRUGBANK': 'DB06756'}"	C0005304
ABCA5	"('HGNC', '35')"	"{'UP': 'Q8WWZ7', 'TEXT': 'ABCA5', 'HGNC': '35'}"	C1412064
PSEN1	"('HGNC', '9508')"	"{'UP': 'P49768', 'TEXT': 'PS-1', 'MESH': 'D053764', 'HGNC': '9508'}"	C1418985
Glucose	"(None, None)"	"{'HMDB': 'HMDB06564', 'TEXT': 'Glucose'}"	C0017725
SYNGR3	"('HGNC', '11501')"	"{'UP': 'O43761', 'TEXT': 'Synaptogyrin-3', 'HGNC': '11501'}"	C1420550
omega-3 PUFAs	"(None, None)"	{'TEXT': 'omega-3 PUFAs'}	C0015689
regulation of autophagy	"('GO', 'GO:0010506')"	"{'GO': 'GO:0010506', 'TEXT': 'regulation of autophagy'}"	C2265640
neurotransmitter secretion	"('GO', 'GO:0007269')"	"{'GO': 'GO:0007269', 'TEXT': 'neurotransmitter release'}"	C0598964
Delta	"('UP', 'P12551')"	"{'UP': 'P12551', 'TEXT': 'delta'}"	C3538806
BuChE	"(None, None)"	{'TEXT': 'BuChE'}	C1168443
isoprostane	"('CHEBI', 'CHEBI:138408')"	"{'CHEBI': 'CHEBI:138408', 'TEXT': 'isoprostane', 'MESH': 'D028421'}"	C0949860
apoE4 fragment	"(None, None)"	{'TEXT': 'apoE4 fragment'}	C0052201
medronic acid	"('CHEBI', 'CHEBI:43945')"	"{'PUBCHEM': '16124', 'TEXT': 'bisphosphonate', 'CHEMBL': 'CHEMBL180570', 'CAS': '1984-15-2', 'DRUGBANK': 'DB14078', 'CHEBI': 'CHEBI:43945'}"	C1366044
Oral Ulcer	"('MESH', 'D019226')"	"{'MESH': 'D019226', 'TEXT': 'oral ulcers', 'HP': 'HP:0000155'}"	C0149745
FDH	"('UP', 'Q570B4')"	"{'UP': 'Q570B4', 'TEXT': 'El4'}"	C0016395
LRP1	"('HGNC', '6692')"	"{'UP': 'Q07954', 'TEXT': 'LRP-1', 'HGNC': '6692', 'MESH': 'D026503'}"	C1846978
medronic acid	"('CHEBI', 'CHEBI:43945')"	"{'PUBCHEM': '16124', 'TEXT': 'bisphosphonates', 'CHEMBL': 'CHEMBL180570', 'CAS': '1984-15-2', 'DRUGBANK': 'DB14078', 'CHEBI': 'CHEBI:43945'}"	C1366044
RTN4	"('HGNC', '14085')"	"{'UP': 'Q9NQC3', 'TEXT': 'Nogo', 'HGNC': '14085', 'MESH': 'D000070798'}"	C1366527
BPs	"(None, None)"	"{'PF': 'PF08947', 'TEXT': 'BPs'}"	C1849718
ERN1	"('HGNC', '3449')"	"{'UP': 'O75460', 'TEXT': 'IRE1', 'HGNC': '3449'}"	C1414444
nicotine	"('CHEBI', 'CHEBI:18723')"	"{'CHEBI': 'CHEBI:18723', 'TEXT': 'Nicotine', 'MESH': 'D009538', 'DRUGBANK': 'DB00184', 'HMDB': 'HMDB0001934', 'CAS': '54-11-5', 'CHEMBL': 'CHEMBL3', 'PUBCHEM': '89594'}"	C0028040
Glucose Intolerance	"('MESH', 'D018149')"	"{'MESH': 'D018149', 'TEXT': 'glucose intolerance'}"	C0271650
RNase domain	"(None, None)"	{'TEXT': 'RNase domain'}	C0035541
astrocyte activation	"('GO', 'GO:0048143')"	"{'GO': 'GO:0048143', 'TEXT': 'astrocyte activation'}"	C1326121
IKK_complex	"('FPLX', 'IKK_complex')"	"{'FPLX': 'IKK_complex', 'TEXT': 'IKK', 'MESH': 'D051550'}"	C1166825
CASR	"('HGNC', '1514')"	"{'UP': 'P41180', 'TEXT': 'CaSR', 'MESH': 'D044169', 'HGNC': '1514'}"	C1413136
VEGF	"('FPLX', 'VEGF')"	"{'FPLX': 'VEGF', 'TEXT': 'vascular endothelial growth factor', 'NCIT': 'C129646'}"	C1256770
BBB permeability	"(None, None)"	{'TEXT': 'BBB permeability'}	C0005854
miR-424-5p	"(None, None)"	{'TEXT': 'miR-424-5p'}	C1521452
"Diabetes Mellitus, Type 2"	"('MESH', 'D003924')"	"{'MESH': 'D003924', 'TEXT': 'Type 2 Diabetes Mellitus'}"	C0011849
PI3K-Akt	"(None, None)"	{'TEXT': 'PI3K-Akt'}	C0164786
gramine	"('CHEBI', 'CHEBI:28948')"	"{'CHEBI': 'CHEBI:28948', 'TEXT': 'gramine', 'CHEMBL': 'CHEMBL254348', 'CAS': '87-52-5', 'PUBCHEM': '6890'}"	C0061860
Erk1/2-p38-JNK	"(None, None)"	{'TEXT': 'Erk1/2-p38-JNK'}	C0082529
fbxo5	"('UP', 'Q0V967')"	"{'UP': 'Q0V967', 'TEXT': 'HRP'}"	C1422079
memantine hydrochloride	"('CHEBI', 'CHEBI:64323')"	"{'CHEBI': 'CHEBI:64323', 'TEXT': 'memantine hydrochloride', 'CHEMBL': 'CHEMBL807', 'MESH': 'D008559', 'CAS': '19982-08-2', 'PUBCHEM': '4054', 'HMDB': 'HMDB0015177', 'DRUGBANK': 'DB01043'}"	C0771988
TBK1	"('HGNC', '11584')"	"{'UP': 'Q9UHD2', 'TEXT': 'TBK1', 'HGNC': '11584'}"	C1449326
TBK1	"('HGNC', '11584')"	"{'UP': 'Q9UHD2', 'TEXT': 'TANK-binding kinase 1', 'HGNC': '11584'}"	C1449326
"Diabetes Mellitus, Type 2"	"('MESH', 'D003924')"	"{'MESH': 'D003924', 'TEXT': 'Type 2 diabetes mellitus'}"	C0011849
Ala-Ala-Ser	"('CHEBI', 'CHEBI:73321')"	"{'PUBCHEM': '25191592', 'TEXT': 'AAS', 'CHEBI': 'CHEBI:73321'}"	C0051078
chloride	"('CHEBI', 'CHEBI:17996')"	"{'CHEBI': 'CHEBI:17996', 'TEXT': 'chloride', 'CAS': '16887-00-6', 'HMDB': 'HMDB0000492', 'CHEMBL': 'CHEMBL19429', 'DRUGBANK': 'DB14547', 'PUBCHEM': '312'}"	C0008203
androgen	"('CHEBI', 'CHEBI:50113')"	"{'CHEBI': 'CHEBI:50113', 'TEXT': 'androgen', 'MESH': 'D000728'}"	C0002844
smoke	"(None, None)"	{'TEXT': 'smoke'}	C0037366
transsulfuration	"('GO', 'GO:0019346')"	"{'GO': 'GO:0019346', 'TEXT': 'transsulfuration'}"	C1156853
TERT	"('HGNC', '11730')"	"{'UP': 'O14746', 'TEXT': 'TRT', 'HGNC': '11730', 'MESH': 'D019098'}"	C0754515
MT-CO1	"('HGNC', '7419')"	"{'UP': 'P00395', 'TEXT': 'cytochrome c oxidase subunit 1', 'HGNC': '7419'}"	C4284184
CFLAR	"('HGNC', '1876')"	"{'UP': 'O15519', 'TEXT': 'flame', 'HGNC': '1876'}"	C1413357
neurotransmitter	"('CHEBI', 'CHEBI:25512')"	"{'CHEBI': 'CHEBI:25512', 'TEXT': 'neurotransmitter'}"	C0027908
Adaptor_protein_II	"('FPLX', 'Adaptor_protein_II')"	"{'FPLX': 'Adaptor_protein_II', 'TEXT': 'AP2', 'GO': 'GO:0030122', 'MESH': 'D033962'}"	C1449886
Dopamine	"(None, None)"	{'TEXT': 'Dopamine'}	C0013030
Statin	"(None, None)"	{'TEXT': 'Statin'}	C0360714
8-epi-prostaglandin F2alpha	"('CHEBI', 'CHEBI:34505')"	"{'PUBCHEM': '5282263', 'TEXT': '8-isoprostane', 'CAS': '27415-26-5', 'CHEMBL': 'CHEMBL1592632', 'CHEBI': 'CHEBI:34505', 'HMDB': 'HMDB0005083'}"	C0170483
L-dopa	"('CHEBI', 'CHEBI:15765')"	"{'PUBCHEM': '6047', 'TEXT': 'levodopa', 'MESH': 'D007980', 'CHEBI': 'CHEBI:15765', 'HMDB': 'HMDB0000181', 'CHEMBL': 'CHEMBL1009', 'CAS': '59-92-7', 'DRUGBANK': 'DB01235'}"	C0023570
metabolic process	"('GO', 'GO:0008152')"	"{'GO': 'GO:0008152', 'TEXT': 'Metabolism', 'MESH': 'D008660'}"	C1524026
Gintonin	"(None, None)"	{'TEXT': 'Gintonin'}	C4079515
gintonin	"(None, None)"	{'TEXT': 'gintonin'}	C4079515
VMA	"(None, None)"	"{'PUBCHEM': '736172', 'TEXT': 'VMA'}"	C0042317
BAPTA	"('CHEBI', 'CHEBI:60888')"	"{'CHEBI': 'CHEBI:60888', 'TEXT': 'BAPTA', 'CHEMBL': 'CHEMBL1590868', 'CAS': '85233-19-8', 'PUBCHEM': '104751'}"	C0043775
AGT	"('HGNC', '333')"	"{'UP': 'P01019', 'TEXT': 'Ang IV', 'HGNC': '333'}"	C2713666
RAS	"('FPLX', 'RAS')"	"{'FPLX': 'RAS', 'PF': 'PF00071', 'TEXT': 'RAS', 'NCIT': 'C17061'}"	C0034678
PDLIM7	"('HGNC', '22958')"	"{'UP': 'Q9NR12', 'TEXT': 'LMP', 'HGNC': '22958'}"	C1427812
LGALS3	"('HGNC', '6563')"	"{'UP': 'P17931', 'TEXT': 'EGFP-Galectin-3', 'MESH': 'D037502', 'HGNC': '6563'}"	C0245382
TAPI-2	"(None, None)"	{'TEXT': 'TAPI-2'}	C0389500
Apraxias	"('MESH', 'D001072')"	"{'MESH': 'D001072', 'TEXT': 'apraxia'}"	C0003635
NFIB	"('HGNC', '7785')"	"{'UP': 'O00712', 'TEXT': 'CTF', 'HGNC': '7785'}"	C1431185
STAT3	"('HGNC', '11364')"	"{'UP': 'P40763', 'TEXT': 'STAT3', 'MESH': 'D050796', 'HGNC': '11364'}"	C0253050
MT-RNR2	"('HGNC', '7471')"	"{'UP': 'Q8IVG9', 'TEXT': 'humanin', 'HGNC': '7471'}"	C1537997
Brain Injuries	"('MESH', 'D001930')"	"{'MESH': 'D001930', 'TEXT': 'Brain injury'}"	C0270611
GZMK	"('HGNC', '4711')"	"{'UP': 'P49863', 'TEXT': 'PRSs', 'HGNC': '4711'}"	C1415382
Val-Asp	"('CHEBI', 'CHEBI:75009')"	"{'PUBCHEM': '7009608', 'TEXT': 'VD', 'CHEBI': 'CHEBI:75009'}"	C0206298
HIF	"('FPLX', 'HIF')"	"{'FPLX': 'HIF', 'TEXT': 'HIF', 'NCIT': 'C113839'}"	C0301821
lipid oxidation	"('GO', 'GO:0034440')"	"{'GO': 'GO:0034440', 'TEXT': 'lipid oxidation'}"	C2612546
response to oxidative stress	"('GO', 'GO:0006979')"	"{'GO': 'GO:0006979', 'TEXT': 'response to oxidative stress'}"	C1155312
hydroxide	"('CHEBI', 'CHEBI:16234')"	"{'PUBCHEM': '961', 'TEXT': 'hydroxyl radicals', 'CHEBI': 'CHEBI:16234', 'HMDB': 'HMDB0001039', 'CAS': '14280-30-9', 'DRUGBANK': 'DB14522'}"	C0220853
COX	"('FPLX', 'COX')"	"{'FPLX': 'COX', 'TEXT': 'cytochrome c oxidase', 'NCIT': 'C26034', 'GO': 'GO:0005751', 'HGNC_GROUP': '643', 'ECCODE': '1.9.3.1', 'MESH': 'D003576'}"	C1565830
GRIA1	"('HGNC', '4571')"	"{'UP': 'P42261', 'TEXT': 'GluR1', 'HGNC': '4571'}"	C1415287
alc	"('UP', 'B7ICG5')"	"{'UP': 'B7ICG5', 'TEXT': 'Alc'}"	C1424945
TGFB	"('FPLX', 'TGFB')"	"{'FPLX': 'TGFB', 'TEXT': 'TGF-β', 'IP': 'IPR015615', 'MESH': 'D016212'}"	C1366557
MAOA	"('HGNC', '6833')"	"{'UP': 'P21397', 'TEXT': 'monoamine oxidase A', 'HGNC': '6833'}"	C0025627
SORT1	"('HGNC', '11186')"	"{'UP': 'Q99523', 'TEXT': 'sortilin', 'HGNC': '11186'}"	C1420313
mAb 9D11	"(None, None)"	{'TEXT': 'mAb 9D11'}	C0003250
quetiapine	"('CHEBI', 'CHEBI:8707')"	"{'CHEBI': 'CHEBI:8707', 'TEXT': 'quetiapine', 'CAS': '111974-69-7', 'DRUGBANK': 'DB01224', 'PUBCHEM': '5002', 'CHEMBL': 'CHEMBL716', 'HMDB': 'HMDB0005021'}"	C0123091
BPIFA4P	"('HGNC', '20469')"	"{'UP': 'Q86YQ2', 'TEXT': 'base', 'HGNC': '20469'}"	C1843354
PI3K	"('FPLX', 'PI3K')"	"{'FPLX': 'PI3K', 'TEXT': 'PI3-K', 'NCIT': 'C17270'}"	C2936824
formaldehyde	"('CHEBI', 'CHEBI:16842')"	"{'CHEBI': 'CHEBI:16842', 'TEXT': 'formaldehyde', 'MESH': 'D005557', 'PUBCHEM': '712', 'DRUGBANK': 'DB03843', 'CAS': '50-00-0', 'HMDB': 'HMDB0001426', 'CHEMBL': 'CHEMBL1255'}"	C0016564
oleocanthal	"('CHEBI', 'CHEBI:85673')"	"{'CHEBI': 'CHEBI:85673', 'TEXT': 'oleocanthal', 'PUBCHEM': '11652416', 'CAS': '289030-99-5'}"	C1620001
GSTO1	"('HGNC', '13312')"	"{'UP': 'P78417', 'TEXT': 'Glutathione S-transferase omega-1', 'HGNC': '13312'}"	C1421933
GSTO locus variants	"(None, None)"	{'TEXT': 'GSTO locus variants'}	C0205419
amylin receptor	"(None, None)"	{'TEXT': 'amylin receptor'}	C2936362
RB1	"('HGNC', '9884')"	"{'UP': 'P06400', 'TEXT': 'Rb', 'MESH': 'D016160', 'HGNC': '9884'}"	C0035335
SELE	"('HGNC', '10718')"	"{'UP': 'P16581', 'TEXT': 'E-selectin', 'MESH': 'D019040', 'HGNC': '10718'}"	C2742136
PKCs	"(None, None)"	{'TEXT': 'PKCs'}	C0657318
chloroform	"('CHEBI', 'CHEBI:35255')"	"{'PUBCHEM': '6212', 'TEXT': 'TCM', 'HMDB': 'HMDB0029596', 'MESH': 'D002725', 'CHEMBL': 'CHEMBL44618', 'CAS': '67-66-3', 'DRUGBANK': 'DB11387', 'CHEBI': 'CHEBI:35255'}"	C0008238
CSF NFL	"(None, None)"	{'TEXT': 'CSF NFL'}	C1417668
MAPT	"('HGNC', '6893')"	"{'UP': 'P10636', 'TEXT': 'P-tau', 'HGNC': '6893'}"	C1446659
NOL3	"('HGNC', '7869')"	"{'UP': 'O60936', 'TEXT': 'Arc', 'HGNC': '7869'}"	C1417756
tetracosane	"('CHEBI', 'CHEBI:32936')"	"{'CHEBI': 'CHEBI:32936', 'TEXT': 'tetracosane', 'CAS': '646-31-1', 'PUBCHEM': '12592', 'HMDB': 'HMDB0034282'}"	C1738964
TXN	"('HGNC', '12435')"	"{'UP': 'P10599', 'TEXT': 'SASP', 'HGNC': '12435'}"	C1504637
SKP2	"('HGNC', '10901')"	"{'UP': 'Q13309', 'TEXT': 'Skp2', 'HGNC': '10901'}"	C0381943
SIRT1	"('HGNC', '14929')"	"{'UP': 'Q96EB6', 'TEXT': 'Sirt1', 'HGNC': '14929', 'MESH': 'D056564'}"	C2720167
salubrinal	"('CHEBI', 'CHEBI:131923')"	"{'CHEBI': 'CHEBI:131923', 'TEXT': 'Salubrinal', 'PUBCHEM': '5717801', 'CHEMBL': 'CHEMBL180127', 'CAS': '405060-95-9'}"	C1566074
vitamin C	"('CHEBI', 'CHEBI:21241')"	"{'CHEBI': 'CHEBI:21241', 'TEXT': 'vitamin C'}"	C0003968
IFI27	"('HGNC', '5397')"	"{'UP': 'P40305', 'TEXT': 'p27', 'HGNC': '5397'}"	C1415887
PPARGC1B	"('HGNC', '30022')"	"{'UP': 'Q86YN6', 'TEXT': 'PGC1', 'HGNC': '30022'}"	C1428918
RAGE-NADPH oxidase-ROSs	"(None, None)"	{'TEXT': 'RAGE-NADPH oxidase-ROSs'}	C0068355
magnesium atom	"('CHEBI', 'CHEBI:25107')"	"{'PUBCHEM': '5462224', 'TEXT': 'mg', 'DRUGBANK': 'DB01378', 'MESH': 'D008274', 'CHEBI': 'CHEBI:25107', 'CAS': '7439-95-4'}"	C0024467
ASAH2	"('HGNC', '18860')"	"{'UP': 'Q9NR71', 'TEXT': 'HCD', 'MESH': 'D055576', 'HGNC': '18860'}"	C1570403
Camelid heavy chain	"(None, None)"	{'TEXT': 'Camelid heavy chain'}	C1420192
CSF1R inhibitor	"(None, None)"	{'TEXT': 'CSF1R inhibitor'}	C1999216
UA	"(None, None)"	{'TEXT': 'UA'}	C0042014
Hypercholesterolemia	"('MESH', 'D006937')"	"{'MESH': 'D006937', 'TEXT': 'high cholesterol level', 'HP': 'HP:0003124'}"	C0020443
PI3K/Akt/Nrf2	"(None, None)"	{'TEXT': 'PI3K/Akt/Nrf2'}	C0164786
pitavastatin	"('CHEBI', 'CHEBI:32020')"	"{'CHEBI': 'CHEBI:32020', 'TEXT': 'pitavastatin', 'PUBCHEM': '5282452', 'HMDB': 'HMDB0041991', 'DRUGBANK': 'DB08860', 'CHEMBL': 'CHEMBL1201753'}"	C1101838
atorvastatin	"('CHEBI', 'CHEBI:39548')"	"{'CHEBI': 'CHEBI:39548', 'TEXT': 'Atorvastatin', 'CHEMBL': 'CHEMBL1487', 'CAS': '134523-00-5', 'DRUGBANK': 'DB01076', 'PUBCHEM': '60823', 'HMDB': 'HMDB0005006', 'MESH': 'D000069059'}"	C0286651
Val-Met	"('CHEBI', 'CHEBI:75015')"	"{'PUBCHEM': '6993039', 'TEXT': 'VM', 'CHEBI': 'CHEBI:75015'}"	C0042285
APP mice	"(None, None)"	{'TEXT': 'APP mice'}	C0026809
MT-RNR2	"('HGNC', '7471')"	"{'UP': 'Q8IVG9', 'TEXT': 'HN', 'HGNC': '7471'}"	C1537997
Lorazepam	"('CHEBI', 'CHEBI:6539')"	"{'CHEBI': 'CHEBI:6539', 'TEXT': 'lorazepam', 'DRUGBANK': 'DB00186', 'CAS': '846-49-1', 'CHEMBL': 'CHEMBL580', 'PUBCHEM': '3958'}"	C0024002
APOE3/4	"(None, None)"	{'TEXT': 'APOE3/4'}	C0052199
APOE3/3	"(None, None)"	{'TEXT': 'APOE3/3'}	C0052199
3-methylcholanthrene	"('CHEBI', 'CHEBI:34342')"	"{'PUBCHEM': '1674', 'TEXT': 'MC', 'CAS': '56-49-5', 'MESH': 'D008748', 'CHEMBL': 'CHEMBL40583', 'CHEBI': 'CHEBI:34342'}"	C0000325
SCARB1	"('HGNC', '1664')"	"{'UP': 'Q8WTV0', 'TEXT': 'SR-BI', 'HGNC': '1664'}"	C1413218
ABCG4	"('HGNC', '13884')"	"{'UP': 'Q9H172', 'TEXT': 'ABCG4', 'HGNC': '13884'}"	C1422254
DKK1	"('HGNC', '2891')"	"{'UP': 'O94907', 'TEXT': 'Dkk1', 'HGNC': '2891'}"	C1414057
"Sleep Apnea, Obstructive"	"('MESH', 'D020181')"	"{'MESH': 'D020181', 'TEXT': 'Obstructive sleep apnea'}"	C0037315
FAM107B	"('HGNC', '23726')"	"{'UP': 'Q9H098', 'TEXT': 'hits', 'HGNC': '23726'}"	C1825236
start	"(None, None)"	"{'PF': 'PF01852', 'TEXT': 'start'}"	C0439659
xenobiotic-activated receptor	"(None, None)"	{'TEXT': 'xenobiotic-activated receptor'}	C0043335
APOA1	"('HGNC', '600')"	"{'UP': 'P02647', 'TEXT': 'ApoA-I', 'HGNC': '600', 'MESH': 'D016632'}"	C0085201
IAPP	"('HGNC', '5329')"	"{'UP': 'P10997', 'TEXT': 'IAPP', 'MESH': 'D058228', 'HGNC': '5329'}"	C0063684
cis P-tau monoclonal antibody	"(None, None)"	{'TEXT': 'cis P-tau monoclonal antibody'}	C0003250
8-hydroxy-2'-deoxyguanosine	"('CHEBI', 'CHEBI:40304')"	"{'CHEBI': 'CHEBI:40304', 'TEXT': ""8-hydroxy-2'-deoxyguanosine"", 'CAS': '88847-89-6', 'CHEMBL': 'CHEMBL1230628', 'PUBCHEM': '135440064', 'HMDB': 'HMDB0003333', 'DRUGBANK': 'DB02502'}"	C0011503
MFN2	"('HGNC', '16877')"	"{'UP': 'O95140', 'TEXT': 'MFN2', 'HGNC': '16877'}"	C1424611
PI3K	"('FPLX', 'PI3K')"	"{'FPLX': 'PI3K', 'TEXT': 'PI', 'NCIT': 'C17270'}"	C2936824
mitochondrial fusion	"('GO', 'GO:0008053')"	"{'GO': 'GO:0008053', 'TEXT': 'mitochondrial fusion'}"	C1156067
cyclooxygenase enzymes	"(None, None)"	{'TEXT': 'cyclooxygenase enzymes'}	C0033551
lysosomal enzymes	"(None, None)"	{'TEXT': 'lysosomal enzymes'}	C0391845
Cyclin	"('FPLX', 'Cyclin')"	"{'FPLX': 'Cyclin', 'TEXT': 'cyclins', 'NCIT': 'C17349', 'MESH': 'D016213'}"	C0079183
Cyanidin	"(None, None)"	"{'PUBCHEM': '68247', 'TEXT': 'Cyanidin'}"	C0056650
CALM	"('FPLX', 'CALM')"	"{'FPLX': 'CALM', 'TEXT': 'CAM', 'NCIT': 'C16375', 'UP': 'P62158', 'MESH': 'D002147'}"	C0522165
RAPGEF3	"('HGNC', '16629')"	"{'UP': 'O95398', 'TEXT': 'Epac1', 'HGNC': '16629'}"	C1424450
IL17A	"('HGNC', '5981')"	"{'UP': 'Q16552', 'TEXT': 'IL-17', 'HGNC': '5981', 'MESH': 'D020381'}"	C1705947
OPRM1	"('HGNC', '8156')"	"{'UP': 'P35372', 'TEXT': 'OPRM1', 'HGNC': '8156', 'MESH': 'D017450'}"	C1417965
retinoid	"('CHEBI', 'CHEBI:26537')"	"{'CHEBI': 'CHEBI:26537', 'TEXT': 'retinoid', 'MESH': 'D012176'}"	C0035339
LXR	"('FPLX', 'LXR')"	"{'FPLX': 'LXR', 'TEXT': 'liver X receptor', 'IP': 'IPR023257'}"	C4288814
acetylcholinesterase inhibitors	"(None, None)"	{'TEXT': 'acetylcholinesterase inhibitors'}	C0001046
Erk-JNK-p38	"(None, None)"	{'TEXT': 'Erk-JNK-p38'}	C3849574
neurotoxic amyloid beta	"(None, None)"	{'TEXT': 'neurotoxic amyloid beta'}	C0235032
Cataract	"('MESH', 'D002386')"	"{'MESH': 'D002386', 'TEXT': 'cataract'}"	C0086543
Grin3a	"('UP', 'Q9R1M7')"	"{'UP': 'Q9R1M7', 'TEXT': 'N-methyl D-aspartate receptor'}"	C1424528
Mylip	"('UP', 'Q8BM54')"	"{'UP': 'Q8BM54', 'TEXT': 'myosin regulatory light chain interacting protein'}"	C1427370
LDLR	"('HGNC', '6547')"	"{'UP': 'P01130', 'TEXT': 'LDL receptor', 'MESH': 'D011973', 'HGNC': '6547'}"	C3493221
Erk-JNK	"(None, None)"	{'TEXT': 'Erk-JNK'}	C3849574
E3_Ub_ligase	"('FPLX', 'E3_Ub_ligase')"	"{'FPLX': 'E3_Ub_ligase', 'TEXT': 'E3 ubiquitin ligase', 'PF': 'PF12483'}"	C0077678
PCNA	"('HGNC', '8729')"	"{'UP': 'P12004', 'TEXT': 'PCNA', 'HGNC': '8729', 'MESH': 'D018809'}"	C0072108
USP9X	"('HGNC', '12632')"	"{'UP': 'Q93008', 'TEXT': 'USP9', 'HGNC': '12632'}"	C1421409
nanoparticle	"('CHEBI', 'CHEBI:50803')"	"{'CHEBI': 'CHEBI:50803', 'TEXT': 'Nanoparticle'}"	C1450054
drug transport	"('GO', 'GO:0015893')"	"{'GO': 'GO:0015893', 'TEXT': 'drug transport'}"	C1154689
FASLG	"('HGNC', '11936')"	"{'UP': 'P48023', 'TEXT': 'FasL', 'HGNC': '11936', 'MESH': 'D053222'}"	C1539478
prostaglandin E2	"('CHEBI', 'CHEBI:15551')"	"{'CHEBI': 'CHEBI:15551', 'TEXT': 'prostaglandin E2', 'CHEMBL': 'CHEMBL548', 'PUBCHEM': '5280360', 'MESH': 'D015232', 'CAS': '363-24-6', 'HMDB': 'HMDB0001220', 'DRUGBANK': 'DB00917'}"	C0012472
Cellular immune components	"(None, None)"	{'TEXT': 'Cellular immune components'}	C1166607
Chemokine	"('FPLX', 'Chemokine')"	"{'FPLX': 'Chemokine', 'TEXT': 'chemokines', 'NCIT': 'C20466', 'MESH': 'D018925'}"	C0282554
WWC1	"('HGNC', '29435')"	"{'UP': 'Q8IX03', 'TEXT': 'KIBRA', 'HGNC': '29435'}"	C1823863
nuclear receptor superfamily	"(None, None)"	{'TEXT': 'nuclear receptor superfamily'}	C0206588
Apolipoprotein	"('FPLX', 'Apolipoprotein')"	"{'FPLX': 'Apolipoprotein', 'TEXT': 'Apolipoproteins', 'MESH': 'D001053', 'PF': 'PF01442', 'IP': 'IPR000074'}"	C0003591
high-density lipoprotein cholesterol	"('CHEBI', 'CHEBI:47775')"	"{'CHEBI': 'CHEBI:47775', 'TEXT': 'high-density lipoprotein cholesterol', 'MESH': 'D008076'}"	C0023822
phosphonoformic acid	"('CHEBI', 'CHEBI:127780')"	"{'PUBCHEM': '3415', 'TEXT': 'foscarnet', 'CHEBI': 'CHEBI:127780', 'CHEMBL': 'CHEMBL666', 'MESH': 'D017245', 'CAS': '4428-95-9', 'HMDB': 'HMDB0014670', 'DRUGBANK': 'DB00529'}"	C0070895
Complement receptor 1 gene polymorphism rs3818361	"(None, None)"	{'TEXT': 'Complement receptor 1 gene polymorphism rs3818361'}	C0056182
